,cp,municipio,provincia,ccaa
5851,28709,san_sebastian_de_los_reyes,madrid,comunidad_de_madrid
5852,28710,,madrid,comunidad_de_madrid
5853,28720,bustarviejo,madrid,comunidad_de_madrid
5854,28721,cabanillas_de_la_sierra,madrid,comunidad_de_madrid
5855,28722,el_vellon,madrid,comunidad_de_madrid
5856,28723,pedrezuela,madrid,comunidad_de_madrid
5857,28729,navalafuente,madrid,comunidad_de_madrid
5858,28730,buitrago_del_lozoya,madrid,comunidad_de_madrid
5859,28737,braojos,madrid,comunidad_de_madrid
5860,28739,garganta_de_los_montes,madrid,comunidad_de_madrid
5861,28740,rascafria,madrid,comunidad_de_madrid
5862,28741,,madrid,comunidad_de_madrid
5863,28742,alameda_del_valle,madrid,comunidad_de_madrid
5864,28743,canencia,madrid,comunidad_de_madrid
5865,28749,pinilla_del_valle,madrid,comunidad_de_madrid
5866,28750,colmenar_viejo,madrid,comunidad_de_madrid
5867,28751,la_cabrera,madrid,comunidad_de_madrid
5868,28752,lozoyuela_navas_sieteiglesias,madrid,comunidad_de_madrid
5869,28753,lozoyuela_navas_sieteiglesias,madrid,comunidad_de_madrid
5870,28754,lozoyuela_navas_sieteiglesias,madrid,comunidad_de_madrid
5871,28755,la_acebeda,madrid,comunidad_de_madrid
5872,28756,somosierra,madrid,comunidad_de_madrid
5873,28760,tres_cantos,madrid,comunidad_de_madrid
5874,28770,colmenar_viejo,madrid,comunidad_de_madrid
5875,28780,,madrid,comunidad_de_madrid
5876,28790,,madrid,comunidad_de_madrid
5877,28791,soto_del_real,madrid,comunidad_de_madrid
5878,28792,miraflores_de_la_sierra,madrid,comunidad_de_madrid
5879,28793,,madrid,comunidad_de_madrid
5880,28794,guadalix_de_la_sierra,madrid,comunidad_de_madrid
5881,28798,,madrid,comunidad_de_madrid
5882,28800,alcala_de_henares,madrid,comunidad_de_madrid
5883,28801,alcala_de_henares,madrid,comunidad_de_madrid
5884,28802,alcala_de_henares,madrid,comunidad_de_madrid
5885,28803,alcala_de_henares,madrid,comunidad_de_madrid
5886,28804,alcala_de_henares,madrid,comunidad_de_madrid
5887,28805,alcala_de_henares,madrid,comunidad_de_madrid
5888,28806,alcala_de_henares,madrid,comunidad_de_madrid
5889,28807,alcala_de_henares,madrid,comunidad_de_madrid
5890,28810,villalbilla,madrid,comunidad_de_madrid
5891,28811,corpa,madrid,comunidad_de_madrid
5892,28812,pezuela_de_las_torres,madrid,comunidad_de_madrid
5893,28813,pozuelo_del_rey,madrid,comunidad_de_madrid
5894,28814,daganzo_de_arriba,madrid,comunidad_de_madrid
5895,28815,fresno_de_torote,madrid,comunidad_de_madrid
5896,28816,camarma_de_esteruelas,madrid,comunidad_de_madrid
5897,28817,los_santos_de_la_humosa,madrid,comunidad_de_madrid
5898,28818,anchuelo,madrid,comunidad_de_madrid
5899,28820,coslada,madrid,comunidad_de_madrid
5900,28821,coslada,madrid,comunidad_de_madrid
5901,28822,coslada,madrid,comunidad_de_madrid
5902,28823,coslada,madrid,comunidad_de_madrid
